"Palavra","Tipo"
"oitavo","NO"
"oitenta","NC"
"oito","NC"
"oitocentos","NC"
"olá","IT"
"onde","PL"
"onze","NC"
"ora","CJ"
"ora","IT"
"os","AD"
"os","PR"
"os!","PD"
"os!","PP"
"os+quais","PL"
"ou","CJ"
"outrem","PI"
"outro","PI"
"outrora","AV"
"oxalá","IT"
"para","PR"
"para+com","PR"
"pela!","PR+AD"
"pelas!","PR+AD"
"pelo!","PR+AD"
"pelos!","PR+AD"
"perante","PR"
"perdão","IT"
"perto","AV"
"perto+de","PR"
"pior","AV"
"pois","CJ"
"por","PR"
"por+conseguinte","CJ"
"por+isso","CJ"
"por+trás+de","PR"
"porém","CJ"
"porquanto","CJ"
"porque","CJ"
"portanto","CJ"
"porventura","AV"
"pouco","PI"
"pra","PR"
"primeiro","NO"
"próprio","PD"
"psiu","IT"
"puxa","IT"
"quadragésimo","NO"
"quadringentésimo","NO"
"quádruplo","NM"
"qualquer","PI"
"quantas","PL"
"quanto","PL"
"quantos","PL"
"quarenta","NC"
"quarto","NO"
"quase","AV"
"quaternário","NM"
"quatorze","NC"
"quatro","NC"
"quatrocentos","NC"
"que","CJ"
"que","PL"
"quê","IT"
"qüingentésimo","NO"
"qüinquagésimo","NO"
"quem","PL"
"quem!","PI"
"quer","CJ"
"quiça","AV"
"quinhentos","NC"
"quinquagésimo","NO"
"quinto","NO"
"quíntuplo","NM"
"quinze","NC"
"raios","IT"
"rapidamente","AV"
"realmente","AV"
"safa","IT"
"se","PP"
"segundo","NO"
"segundo","PR"
"seis","NC"
"seiscentésimo","NO"
"seiscentos","NC"
"seja","CJ"
"sem","PR"
"sempre","AV"
"septingentéssimo","NO"
"septuagésimo","NO"
"sessenta","NC"
"sete","NC"
"setecentos","NC"
"setenta","NC"
"sétimo","NO"
"setuagésimo","NO"
"sétuplo","NM"
"seu","PS"
"seus","PS"
"sexagésimo","NO"
"sexcentésimo","NO"
"sexto","NO"
"sêxtuplo","NM"
"si","PP"
"sim","AV"
"sob","PR"
"sobre","PR"
"sua","PS"
"suas","PS"
"tais","PD"
"tal","PD"
"talvez","AV"
"tanto","PI"
"tão","AV"
"tarde","AV"
"tchau","IT"
"te","PP"
"terceiro","NO"
"terço","NM"
"teu","PS"
"teus","PS"
"ti","PP"
"toca","IT"
"todavia","CJ"
"todo","PI"
"tomara","IT"
"trás","PR"
"trecentésimo","NO"
"três","NC"
"treze","NC"
"trezentos","NC"
"trigésimo","NO"
"trinta","NC"
"tríplice","NM"
"triplo","NM"
"tu","PP"
"tua","PS"
"tuas","PS"
"tudo","PI"
"ufa","IT"
"ui","IT"
"um","AI"
"um","NC"
"um","PI"
"uma","AI"
"umas","AI"
"undécimo","NO"
"undécuplo","NM"
"uns","AI"
"v","NR"
"vamos","IT"
"vário","PI"
"vi","NR"
"vigésimo","NO"
"viii","NR"
"vinte","NC"
"viva","IT"
"vós","PP"
"vossa","PS"
"vossas","PS"
"vosso","PS"
"vossos","PS"
"x","NR"
"xc","NR"
"xi","NR"
"xii","NR"
"xiii","NR"
"xiv","NR"
"xix","NR"
"xl","NR"
"xô","IT"
"xv","NR"
"xvi","NR"
"xvii","NR"
"xviii","NR"
"xx","NR"
"xxi","NR"
"xxx","NR"
